"","cluster","variable","value","pos","count"
"1","1","infl",34,192,"34"
"2","2","infl",16,167,"16"
"3","3","infl",22,148,"22"
"4","4","infl",28,123,"28"
"5","5","infl",2,108,""
"6","6","infl",35,89.5,"35"
"7","7","infl",8,68,"8"
"8","8","infl",64,32,"64"
"9","1","uninfl",30,178,"30"
"10","2","uninfl",14,156,"14"
"11","3","uninfl",23,137.5,"23"
"12","4","uninfl",21,115.5,"21"
"13","5","uninfl",1,104.5,""
"14","6","uninfl",30,89,"30"
"15","7","uninfl",10,69,"10"
"16","8","uninfl",64,32,"64"
"17","1","blood",12,66,"12"
"18","2","blood",1,59.5,""
"19","3","blood",7,55.5,"7"
"20","4","blood",1,51.5,""
"21","5","blood",47,27.5,"47"
"22","6","blood",0,4,""
"23","7","blood",1,3.5,""
"24","8","blood",3,1.5,""
